"id","overrideValues","name","ref1","ref2","ref3","ref4","ref5","ref6","ref7","ref8","ref9","ref10","ref11","ref12","ref13","ref14","ref15","ref16","ref17","ref18","ref19","ref20"
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","Accounting_Period.Oracle-Accounting_Period.CDW-(SUB)*","boomi","agoel","INT : Non-Prod Support""","Bug","stalaricheruvu,pramesh,dineshtiwari,agoel,rdonkada,kadurthi","Boomi","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","AP_Lines.Oracle-AP_Lines.CDW-(SUB)*","boomi","agoel","INT : Non-Prod Support""","Bug","stalaricheruvu,pramesh,dineshtiwari,agoel,rdonkada,kadurthi","Boomi","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","AP_Payment_Lines.Oracle-AP_Payment_Lines.CDW-(SUB)*","boomi","agoel","INT : Non-Prod Support""","Bug","stalaricheruvu,pramesh,dineshtiwari,agoel,rdonkada,kadurthi","Boomi","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","AP_Payments_Headers.Oracle-AP_Payments_Headers.CDW-(SUB)*","boomi","agoel","INT : Non-Prod Support""","Bug","stalaricheruvu,pramesh,dineshtiwari,agoel,rdonkada,kadurthi","Boomi","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","APAllocations.Oracle-APAllocations.CDW-(SUB)*","boomi","agoel","INT : Non-Prod Support""","Bug","stalaricheruvu,pramesh,dineshtiwari,agoel,rdonkada,kadurthi","Boomi","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","APHeaders.Oracle-APHeaders.CDW-(SUB)*","boomi","agoel","INT : Non-Prod Support""","Bug","stalaricheruvu,pramesh,dineshtiwari,agoel,rdonkada,kadurthi","Boomi","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","ARDistributions.Oracle-ARDistributions.CDW-(SUB)*","boomi","agoel","INT : Non-Prod Support""","Bug","stalaricheruvu,pramesh,dineshtiwari,agoel,rdonkada,kadurthi","Boomi","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","Arena.Items-Oracle.Items-(Scheduled-1)","boomi","agoel","INT : Non-Prod Support""","Bug","agoel","Boomi""","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","Arena.Obsolete/Deprecated_Items-Oracle.CreateJira-(Sch1-Sub1-2)","boomi","agoel","INT : Non-Prod Support""","Bug","sporwal","Boomi""","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
"fb85fef4-47fd-4f40-9aab-9269e6e066fa","true","JIRA_Fields_Lookup","Arena.NCRQuarantine-Oracle.SubInventoryTransfer-(Scheduled-1)","boomi","agoel","INT : Non-Prod Support""","Bug","sporwal","Boomi""","jira+BIZSYS@lyft.com","Minor","","","","","","","","","","",""
